"x","y","elevation"
-112.908333212806,37.5125000964992,2368
-112.907499879473,37.5125000964992,2366
-112.90666654614,37.5125000964992,2386
-112.905833212806,37.5125000964992,2396
-112.904999879473,37.5125000964992,2397
-112.90416654614,37.5125000964992,2399
-112.903333212806,37.5125000964992,2399
-112.902499879473,37.5125000964992,2409
-112.90166654614,37.5125000964992,2424
-112.900833212807,37.5125000964992,2438
-112.899999879473,37.5125000964992,2447
-112.89916654614,37.5125000964992,2442
-112.898333212807,37.5125000964992,2429
-112.897499879474,37.5125000964992,2417
-112.89666654614,37.5125000964992,2405
-112.895833212807,37.5125000964992,2394
-112.894999879474,37.5125000964992,2385
-112.89416654614,37.5125000964992,2388
-112.893333212807,37.5125000964992,2389
-112.892499879474,37.5125000964992,2386
-112.891666546141,37.5125000964992,2375
-112.890833212807,37.5125000964992,2366
-112.889999879474,37.5125000964992,2347
-112.889166546141,37.5125000964992,2316
-112.888333212807,37.5125000964992,2343
-112.887499879474,37.5125000964992,2377
-112.886666546141,37.5125000964992,2388
-112.885833212808,37.5125000964992,2391
-112.884999879474,37.5125000964992,2386
-112.884166546141,37.5125000964992,2369
-112.883333212808,37.5125000964992,2352
-112.882499879474,37.5125000964992,2353
-112.881666546141,37.5125000964992,2371
-112.880833212808,37.5125000964992,2378
-112.879999879475,37.5125000964992,2373
-112.879166546141,37.5125000964992,2368
-112.878333212808,37.5125000964992,2365
-112.877499879475,37.5125000964992,2357
-112.876666546142,37.5125000964992,2355
-112.875833212808,37.5125000964992,2356
-112.874999879475,37.5125000964992,2357
-112.874166546142,37.5125000964992,2362
-112.873333212808,37.5125000964992,2375
-112.872499879475,37.5125000964992,2385
-112.871666546142,37.5125000964992,2389
-112.870833212809,37.5125000964992,2390
-112.869999879475,37.5125000964992,2394
-112.869166546142,37.5125000964992,2397
-112.868333212809,37.5125000964992,2401
-112.867499879476,37.5125000964992,2406
-112.866666546142,37.5125000964992,2407
-112.865833212809,37.5125000964992,2419
-112.864999879476,37.5125000964992,2431
-112.864166546142,37.5125000964992,2440
-112.863333212809,37.5125000964992,2448
-112.862499879476,37.5125000964992,2462
-112.861666546143,37.5125000964992,2477
-112.860833212809,37.5125000964992,2490
-112.859999879476,37.5125000964992,2502
-112.859166546143,37.5125000964992,2517
-112.858333212809,37.5125000964992,2525
-112.857499879476,37.5125000964992,2537
-112.856666546143,37.5125000964992,2556
-112.85583321281,37.5125000964992,2585
-112.854999879476,37.5125000964992,2617
-112.854166546143,37.5125000964992,2654
-112.85333321281,37.5125000964992,2674
-112.852499879476,37.5125000964992,2685
-113.239166546117,37.5116667631659,1737
-113.238333212784,37.5116667631659,1727
-113.237499879451,37.5116667631659,1717
-113.236666546118,37.5116667631659,1712
-113.235833212784,37.5116667631659,1705
-113.234999879451,37.5116667631659,1695
-113.234166546118,37.5116667631659,1690
-113.233333212784,37.5116667631659,1695
-113.232499879451,37.5116667631659,1696
-113.231666546118,37.5116667631659,1690
-113.230833212785,37.5116667631659,1681
-113.229999879451,37.5116667631659,1673
-113.229166546118,37.5116667631659,1673
-113.228333212785,37.5116667631659,1680
-113.227499879451,37.5116667631659,1688
-113.226666546118,37.5116667631659,1680
-113.225833212785,37.5116667631659,1674
-113.224999879452,37.5116667631659,1681
-113.224166546118,37.5116667631659,1689
-113.223333212785,37.5116667631659,1679
-113.222499879452,37.5116667631659,1676
-113.221666546119,37.5116667631659,1660
-113.220833212785,37.5116667631659,1645
-113.219999879452,37.5116667631659,1633
-113.219166546119,37.5116667631659,1626
-113.218333212785,37.5116667631659,1624
-113.217499879452,37.5116667631659,1624
-113.216666546119,37.5116667631659,1624
-113.215833212786,37.5116667631659,1624
-113.214999879452,37.5116667631659,1625
-113.214166546119,37.5116667631659,1629
-113.213333212786,37.5116667631659,1630
-113.212499879452,37.5116667631659,1632
-113.211666546119,37.5116667631659,1634
-113.210833212786,37.5116667631659,1635
-113.209999879453,37.5116667631659,1637
-113.209166546119,37.5116667631659,1638
-113.208333212786,37.5116667631659,1639
-113.207499879453,37.5116667631659,1640
-113.20666654612,37.5116667631659,1642
-113.205833212786,37.5116667631659,1643
-113.204999879453,37.5116667631659,1645
-113.20416654612,37.5116667631659,1647
-113.203333212786,37.5116667631659,1649
-113.202499879453,37.5116667631659,1650
-113.20166654612,37.5116667631659,1652
-113.200833212787,37.5116667631659,1654
-113.199999879453,37.5116667631659,1656
-113.19916654612,37.5116667631659,1659
-113.198333212787,37.5116667631659,1659
-113.197499879454,37.5116667631659,1662
-113.19666654612,37.5116667631659,1663
-113.195833212787,37.5116667631659,1664
-113.194999879454,37.5116667631659,1666
-113.19416654612,37.5116667631659,1668
-113.193333212787,37.5116667631659,1669
-113.192499879454,37.5116667631659,1671
-113.191666546121,37.5116667631659,1685
-113.190833212787,37.5116667631659,1726
-113.189999879454,37.5116667631659,1786
-113.189166546121,37.5116667631659,1837
-113.188333212787,37.5116667631659,1857
-113.187499879454,37.5116667631659,1884
-113.186666546121,37.5116667631659,1903
-113.185833212788,37.5116667631659,1896
-113.184999879454,37.5116667631659,1890
-113.184166546121,37.5116667631659,1891
-113.183333212788,37.5116667631659,1893
-113.182499879454,37.5116667631659,1882
