factor_id,purity,n_articles,factor_rank,factor_label
2105,0.8208099243039378,51,521,521 | factor 2105
8235,0.820761643600048,113,522,522 | factor 8235
25708,0.8206804651170362,58,523,523 | factor 25708
28379,0.820643395596781,33,524,524 | factor 28379
7726,0.8206404812082073,50,525,525 | factor 7726
7850,0.8203598456535834,28,526,526 | factor 7850
22708,0.8202547561828297,28,527,527 | factor 22708
31958,0.8202492008701773,40,528,528 | factor 31958
16185,0.8201432286366156,75,529,529 | factor 16185
3774,0.8192085457426118,61,530,530 | factor 3774
16911,0.8185958371121401,26,531,531 | factor 16911
17251,0.8185760546410175,54,532,532 | factor 17251
2601,0.8182690969288671,53,533,533 | factor 2601
22601,0.8181215105254562,83,534,534 | factor 22601
26196,0.8181048769894139,56,535,535 | factor 26196
1804,0.8172286537835316,191,536,536 | factor 1804
10484,0.8170883461735483,161,537,537 | factor 10484
5766,0.8167725066780112,20,538,538 | factor 5766
28525,0.8167136001077173,43,539,539 | factor 28525
8339,0.8160834441181658,22,540,540 | factor 8339
688,0.8160533418387548,25,541,541 | factor 688
32146,0.8158819269750409,43,542,542 | factor 32146
9783,0.8157878881949019,288,543,543 | factor 9783
14837,0.815776605716323,116,544,544 | factor 14837
21215,0.8154211255278668,59,545,545 | factor 21215
20966,0.815358139084556,42,546,546 | factor 20966
18860,0.8152671315233483,40,547,547 | factor 18860
24761,0.8151540881354116,162,548,548 | factor 24761
17571,0.8149994181491376,95,549,549 | factor 17571
14632,0.8149894034582441,43,550,550 | factor 14632
1429,0.8144102337151289,194,551,551 | factor 1429
2852,0.8142041854150309,23,552,552 | factor 2852
14557,0.8141652545378416,139,553,553 | factor 14557
25219,0.8140256517000957,32,554,554 | factor 25219
31102,0.8138646649788768,29,555,555 | factor 31102
1913,0.8138589407249058,61,556,556 | factor 1913
9258,0.8138331951872045,265,557,557 | factor 9258
9168,0.8128260749926498,39,558,558 | factor 9168
9563,0.8126093728205986,29,559,559 | factor 9563
