E3,Magnitude,.draw,PC1,PC2
-0.265,-0.38234789550915754,7,-2.315294790043146,1.2879179358842228
-0.262,-0.38119507568147243,7,-2.315294790043146,1.2879179358842228
-0.182,-0.3466998260245077,7,-2.315294790043146,1.2879179358842228
-0.178,-0.34478783621956816,7,-2.315294790043146,1.2879179358842228
-0.021,-0.25620544767104286,7,-2.315294790043146,1.2879179358842228
-0.015,-0.2523108413978187,7,-2.315294790043146,1.2879179358842228
0.047,-0.2099575979020689,7,-2.315294790043146,1.2879179358842228
0.055,-0.20421670672935308,7,-2.315294790043146,1.2879179358842228
0.195,-0.09411178300099339,7,-2.315294790043146,1.2879179358842228
0.222,-0.07089687754964819,7,-2.315294790043146,1.2879179358842228
0.264,-0.03362642540304315,7,-2.315294790043146,1.2879179358842228
0.297,-0.0034269114628512074,7,-2.315294790043146,1.2879179358842228
0.34,0.03701714432312364,7,-2.315294790043146,1.2879179358842228
0.487,0.18250778118759875,7,-2.315294790043146,1.2879179358842228
0.665,0.36562360266117366,7,-2.315294790043146,1.2879179358842228
0.764,0.46642517365213015,7,-2.315294790043146,1.2879179358842228
1.023,0.715655344679074,7,-2.315294790043146,1.2879179358842228
1.132,0.8127057193508125,7,-2.315294790043146,1.2879179358842228
1.133,0.8135716282494443,7,-2.315294790043146,1.2879179358842228
1.342,0.9852096665701605,7,-2.315294790043146,1.2879179358842228
1.465,1.0786646769405701,7,-2.315294790043146,1.2879179358842228
1.472,1.0838404910546273,7,-2.315294790043146,1.2879179358842228
2.086,1.4895879302616615,7,-2.315294790043146,1.2879179358842228
2.367,1.6523128913028733,7,-2.315294790043146,1.2879179358842228
-1.917,0.21214589426352673,8,-0.9142375162649985,-1.5702724392878733
-1.724,0.036894777930450706,8,-0.9142375162649985,-1.5702724392878733
-1.426,-0.2134731419332545,8,-0.9142375162649985,-1.5702724392878733
-1.119,-0.414790388787927,8,-0.9142375162649985,-1.5702724392878733
-1.015,-0.4636054950589573,8,-0.9142375162649985,-1.5702724392878733
-0.935,-0.4929979080082795,8,-0.9142375162649985,-1.5702724392878733
-0.927,-0.4955247670116373,8,-0.9142375162649985,-1.5702724392878733
-0.807,-0.5240911995830098,8,-0.9142375162649985,-1.5702724392878733
-0.803,-0.52473634061132,8,-0.9142375162649985,-1.5702724392878733
-0.803,-0.52473634061132,8,-0.9142375162649985,-1.5702724392878733
-0.793,-0.5262609769969144,8,-0.9142375162649985,-1.5702724392878733
-0.702,-0.5343165506512965,8,-0.9142375162649985,-1.5702724392878733
-0.576,-0.5281014590073596,8,-0.9142375162649985,-1.5702724392878733
-0.455,-0.503451530277404,8,-0.9142375162649985,-1.5702724392878733
-0.432,-0.49675256800213646,8,-0.9142375162649985,-1.5702724392878733
-0.265,-0.42955808941684825,8,-0.9142375162649985,-1.5702724392878733
-0.262,-0.4280601128841001,8,-0.9142375162649985,-1.5702724392878733
-0.182,-0.3844628003960574,8,-0.9142375162649985,-1.5702724392878733
-0.178,-0.38210101577210953,8,-0.9142375162649985,-1.5702724392878733
-0.021,-0.27636925906046156,8,-0.9142375162649985,-1.5702724392878733
-0.015,-0.2718426406312065,8,-0.9142375162649985,-1.5702724392878733
0.047,-0.22309018706614842,8,-0.9142375162649985,-1.5702724392878733
0.055,-0.21654317582530022,8,-0.9142375162649985,-1.5702724392878733
0.195,-0.0932471379471837,8,-0.9142375162649985,-1.5702724392878733
0.222,-0.0677220072820154,8,-0.9142375162649985,-1.5702724392878733
0.264,-0.027022439392994216,8,-0.9142375162649985,-1.5702724392878733
0.297,0.0057380356665387,8,-0.9142375162649985,-1.5702724392878733
0.34,0.04934962967619068,8,-0.9142375162649985,-1.5702724392878733
0.487,0.20452991519166372,8,-0.9142375162649985,-1.5702724392878733
0.665,0.39941795874585245,8,-0.9142375162649985,-1.5702724392878733
0.764,0.5087330314320874,8,-0.9142375162649985,-1.5702724392878733
1.023,0.7953217514503651,8,-0.9142375162649985,-1.5702724392878733
1.132,0.9172441131058136,8,-0.9142375162649985,-1.5702724392878733
1.133,0.9183688528556008,8,-0.9142375162649985,-1.5702724392878733
1.342,1.1565003784157388,8,-0.9142375162649985,-1.5702724392878733
1.465,1.2998406978679053,8,-0.9142375162649985,-1.5702724392878733
1.472,1.3080714690772524,8,-0.9142375162649985,-1.5702724392878733
2.086,2.0502631878256135,8,-0.9142375162649985,-1.5702724392878733
2.367,2.3944832532680786,8,-0.9142375162649985,-1.5702724392878733
-1.917,1.5244856339564772,9,4.084969875100504,-5.5048728298580585
-1.724,1.0074769547465803,9,4.084969875100504,-5.5048728298580585
-1.426,0.23120463873433175,9,4.084969875100504,-5.5048728298580585
-1.119,-0.4689417193283476,9,4.084969875100504,-5.5048728298580585
-1.015,-0.6441259637010287,9,4.084969875100504,-5.5048728298580585
-0.935,-0.7461924090034943,9,4.084969875100504,-5.5048728298580585
-0.927,-0.7546240554102656,9,4.084969875100504,-5.5048728298580585
-0.807,-0.8395615578595824,9,4.084969875100504,-5.5048728298580585
-0.803,-0.8410182719118496,9,4.084969875100504,-5.5048728298580585
-0.803,-0.8410182719118496,9,4.084969875100504,-5.5048728298580585
-0.793,-0.8442671652916252,9,4.084969875100504,-5.5048728298580585
-0.702,-0.8500848053684068,9,4.084969875100504,-5.5048728298580585
-0.576,-0.8007432256664422,9,4.084969875100504,-5.5048728298580585
-0.455,-0.7121829763898557,9,4.084969875100504,-5.5048728298580585
-0.432,-0.6926939566112937,9,4.084969875100504,-5.5048728298580585
-0.265,-0.5462969329030325,9,4.084969875100504,-5.5048728298580585
-0.262,-0.5437908887036704,9,4.084969875100504,-5.5048728298580585
-0.182,-0.48080097898464225,9,4.084969875100504,-5.5048728298580585
-0.178,-0.4778415659458497,9,4.084969875100504,-5.5048728298580585
-0.021,-0.3701132350008676,9,4.084969875100504,-5.5048728298580585
-0.015,-0.36610259310976395,9,4.084969875100504,-5.5048728298580585
0.047,-0.32365095823730644,9,4.084969875100504,-5.5048728298580585
0.055,-0.3179559310478401,9,4.084969875100504,-5.5048728298580585
0.195,-0.20123484452424031,9,4.084969875100504,-5.5048728298580585
0.222,-0.17334091190762968,9,4.084969875100504,-5.5048728298580585
0.264,-0.1252922253493131,9,4.084969875100504,-5.5048728298580585
0.297,-0.08333117703948367,9,4.084969875100504,-5.5048728298580585
0.34,-0.023212232488752014,9,4.084969875100504,-5.5048728298580585
0.487,0.2159982394699897,9,4.084969875100504,-5.5048728298580585
0.665,0.5184753840357365,9,4.084969875100504,-5.5048728298580585
0.764,0.6628591422284666,9,4.084969875100504,-5.5048728298580585
1.023,0.9211267757900966,9,4.084969875100504,-5.5048728298580585
1.132,0.9923793487776634,9,4.084969875100504,-5.5048728298580585
1.133,0.9929796748367608,9,4.084969875100504,-5.5048728298580585
1.342,1.1202059871431846,9,4.084969875100504,-5.5048728298580585
1.465,1.2180940504011026,9,4.084969875100504,-5.5048728298580585
1.472,1.2245566610708867,9,4.084969875100504,-5.5048728298580585
2.086,2.071075434333038,9,4.084969875100504,-5.5048728298580585
2.367,2.5214068301605996,9,4.084969875100504,-5.5048728298580585
-1.917,0.9568936058020222,10,3.161094049325649,0.5304951115775957
-1.724,0.5199951745567883,10,3.161094049325649,0.5304951115775957
-1.426,-0.08565557360592502,10,3.161094049325649,0.5304951115775957
-1.119,-0.519992617818167,10,3.161094049325649,0.5304951115775957
-1.015,-0.6034464850484118,10,3.161094049325649,0.5304951115775957
-0.935,-0.6435632978629828,10,3.161094049325649,0.5304951115775957
-0.927,-0.6464298895782333,10,3.161094049325649,0.5304951115775957
-0.807,-0.665636084530611,10,3.161094049325649,0.5304951115775957
-0.803,-0.6655439098318997,10,3.161094049325649,0.5304951115775957
-0.803,-0.6655439098318997,10,3.161094049325649,0.5304951115775957
-0.793,-0.6651178692187698,10,3.161094049325649,0.5304951115775957
-0.702,-0.6495328492035106,10,3.161094049325649,0.5304951115775957
-0.576,-0.6006276121170119,10,3.161094049325649,0.5304951115775957
-0.455,-0.5358058224220836,10,3.161094049325649,0.5304951115775957
-0.432,-0.5225650741493533,10,3.161094049325649,0.5304951115775957
-0.265,-0.42642450101140167,10,3.161094049325649,0.5304951115775957
-0.262,-0.4247538773726402,10,3.161094049325649,0.5304951115775957
-0.182,-0.381569399791396,10,3.161094049325649,0.5304951115775957
-0.178,-0.3794800466739613,10,3.161094049325649,0.5304951115775957
-0.021,-0.3015871239313518,10,3.161094049325649,0.5304951115775957
-0.015,-0.2987188725678129,10,3.161094049325649,0.5304951115775957
0.047,-0.2693012189062301,10,3.161094049325649,0.5304951115775957
0.055,-0.26552899770426597,10,3.161094049325649,0.5304951115775957
0.195,-0.20081229635801526,10,3.161094049325649,0.5304951115775957
0.222,-0.1887752334950188,10,3.161094049325649,0.5304951115775957
0.264,-0.17046025542075888,10,3.161094049325649,0.5304951115775957
0.297,-0.1564700344473214,10,3.161094049325649,0.5304951115775957
0.34,-0.13884561669203718,10,3.161094049325649,0.5304951115775957
0.487,-0.0841128199608704,10,3.161094049325649,0.5304951115775957
0.665,-0.024960109395241258,10,3.161094049325649,0.5304951115775957
0.764,0.010378320794073527,10,3.161094049325649,0.5304951115775957
1.023,0.14537323662704957,10,3.161094049325649,0.5304951115775957
1.132,0.23252730911992914,10,3.161094049325649,0.5304951115775957
1.133,0.23341345000970865,10,3.161094049325649,0.5304951115775957
1.342,0.4455332361318102,10,3.161094049325649,0.5304951115775957
1.465,0.5871373708797322,10,3.161094049325649,0.5304951115775957
1.472,0.5953135298440966,10,3.161094049325649,0.5304951115775957
2.086,1.312495635592022,10,3.161094049325649,0.5304951115775957
2.367,1.6407174136297453,10,3.161094049325649,0.5304951115775957
-1.917,0.4674148837013982,11,-0.8418474946646414,0.4993180276660213
-1.724,0.23805159291294267,11,-0.8418474946646414,0.4993180276660213
-1.426,-0.08620401098105279,11,-0.8418474946646414,0.4993180276660213
